SOR_ID,SOR_Name,SOR_Description,SOR_Type,SOR_DBMS,SOR_DBName,SOR_DBSchema,SOR_FileType,SOR_Filename,SOR_AppName,SOR_AppModule
654,dimDate,dimDate,,PostgreSQL,retail_sor_plan_postgre,retail_sor_plan_postgre - dimdate,,,,
345,dimCurrency,dimCurrency,,PostgreSQL,retail_sor_plan_postgre,retail_sor_plan_postgre - dimcurrency,,,,
12345,dimSalesterritory,dimSalesterritory,,MySQL,retail_sor_as_mysql,retail_sor_as_mysql - dimsalesterritory,,,,
7689,dimSalesterritory,dimSalesterritory,,MS SQL,retail_sor_eu_sqlserver,retail_sor_eu_sqlserver - dimsalesterritory,,,,
4753,dimSalesterritory,dimSalesterritory,,Oracle,retail_sor_na_orcl,retail_sor_na_orcl - dimsalesterritory,,,,
564,dimGeography,dimGeography,,PostgreSQL,retail_sor_plan_postgre,retail_sor_plan_postgre - dimgeography,,,,
456,dimAccount,dimAccount,,MSSQL,retail_sor_eu,retail_sor_eu_sqlserver - dimaccount,,,,
321,dimChannel,dimChannel,,Postgres,retail_sor_plan_postgre,retail_sor_plan_postgre - dimchannel,,,,
432,dimCustomerCompany,dimCustomerCompany,,MySQL,retail_sor_as_mysql,retail_sor_as_mysql - dimcustomer_company,,,,
2323,dimCustomerCompany,dimCustomerCompany,,MSSQL,retail_sor_eu_sqlserver,retail_sor_eu_sqlserver - dimcustomer_company,,,,
23,dimCustomerCompany,dimCustomerCompany,,Oracle,retail_sor_na_orcl,retail_sor_na_oracle - dimcustomer_company,,,,
567,dimCustomerPerson,dimCustomerPerson,,MSSQL,retail_sor_eu_sqlserver,retail_sor_eu_sqlserver - dimcustomer_person,,,,
6754,dimCustomerPerson,dimCustomerPerson,,MySQL,retail_sor_as_mysql,retail_sor_as_mysql - dimcustomer_person,,,,
2345,dimCustomerPerson,dimCustomerPerson,,Oracle,retail_sor_na_orcl,retail_sor_na_oracle - dimcustomer_person,,,,
6543,dimCustomerPerson,dimCustomerPerson,,PostgreSQL,retail_sor_cat_postgre,retail_sor_cat_postgre - dimcustomer_person,,,,
765,dimEntity,dimEntity,,MSSQL,retail_sor_eu_sqlserver,retail_sor_eu_sqlserver - dimentity,,,,
345,dimProduct,dimProduct,,MySQL,retail_sor_as_mysql,retail_sor_as_mysql - dimproduct,,,,
345,dimProduct,dimProduct,,MSSQL,retail_sor_eu_sqlserver,retail_sor_eu_sqlserver - dimproduct,,,,
345,dimProduct,dimProduct,,Oracle,retail_sor_na_orcl,retail_sor_na_orcl - dimproduct,,,,
654,dimProductCategory,dimProductCategory,,PostgreSQL,retail_sor_plan_postgre,retail_sor_plan_postgre - dimproductcategory,,,,
728,cost_cny_step_1.csv,dimProductCost,,csv file,csv file,csv file,,,,
863,cost_cny_step_2.csv,dimProductCost,,csv file,csv file,csv file,,,,
823,cost_cny_step_3.csv,dimProductCost,,csv file,csv file,csv file,,,,
547,cost_cny_step_4.csv,dimProductCost,,csv file,csv file,csv file,,,,
309,cost_cny_step_5.csv,dimProductCost,,csv file,csv file,csv file,,,,
376,cost_cny_step_6.csv,dimProductCost,,csv file,csv file,csv file,,,,
327,cost_eur_step_1to3.txt,dimProductCost,,txt file,txt file,txt file,,,,
467,cost_eur_step_4to6.txt,dimProductCost,,txt file,txt file,txt file,,,,
345,Product_Pricing_Costs_All_Steps_USD.xls,dimProductCost,,csv file,csv file,csv file,,,,
645,price_cny_extract0.csv,dimProductPrice,,csv file,csv file,csv file,,,,
456,price_cny_extract1.csv,dimProductPrice,,csv file,csv file,csv file,,,,
476,price_cny_extract2.csv,dimProductPrice,,csv file,csv file,csv file,,,,
347,price_cny_extract3.csv,dimProductPrice,,csv file,csv file,csv file,,,,
434,price_cny_extract4.csv,dimProductPrice,,csv file,csv file,csv file,,,,
348,price_cny_extract4.csv,dimProductPrice,,csv file,csv file,csv file,,,,
326,price_eur_extract0.csv,dimProductPrice,,csv file,csv file,csv file,,,,
734,price_eur_extract1.csv,dimProductPrice,,csv file,csv file,csv file,,,,
456,price_eur_extract2.csv,dimProductPrice,,csv file,csv file,csv file,,,,
236,price_eur_extract3.csv,dimProductPrice,,csv file,csv file,csv file,,,,
875,price_eur_extract4.csv,dimProductPrice,,csv file,csv file,csv file,,,,
577,price_eur_extract5.csv,dimProductPrice,,csv file,csv file,csv file,,,,
342,price_eur_extract6.csv,dimProductPrice,,csv file,csv file,csv file,,,,
764,price_eur_extract7.csv,dimProductPrice,,csv file,csv file,csv file,,,,
454,price_eur_extract8.csv,dimProductPrice,,csv file,csv file,csv file,,,,
435,price_eur_extract9.csv,dimProductPrice,,csv file,csv file,csv file,,,,
893,Product_Pricing_Costs_All_Steps_USD.xls,dimProductCost,,csv file,csv file,csv file,,,,
435,dimPromotion,dimPromotion,,MySQL,retail_sor_as_mysql,retail_sor_as_mysql -  dimpromotion,,,,
3423,dimPromotion,dimPromotion,,MSSQL,retail_sor_eu_sqlserver,retail_sor_eu_sqlserver - dimpromotion,,,,
4354,dimPromotion,dimPromotion,,Oracle,retail_sor_na_orcl,retail_sor_na_orcl - dimpromotion,,,,
4532,dimRejectCodes.csv,dimRejectCodes,,csv file,csv file,csv file,,,,
3242,dimScenario,dimScenario,,PostgreSQL,retail_sor_plan_postgre,retail_sor_plan_postgre - dimscenario,,,,
534,dimSORSystem,dimSORSystem,,,,,,,,
4353,dimStore,dimStore,,PostgreSQL,retail_sor_plan_postgre,retail_sor_plan_postgre - dimstore,,,,
5345,CurrencyExchange_USDtoCNY,FactExchangeRates,,csv file,csv file,csv file,,,,
9867,CurrencyExchange_USDtoEUR,FactExchangeRates,,csv file,csv file,csv file,,,,
435,FactInventory,FactInventory,,MySQL,retail_sor_as_mysql,retail_sor_as_mysql - factinventory,,,,
876,FactInventory,FactInventory,,MSSQL,retail_sor_eu_sqlserver,retail_sor_eu_sqlserver - factinventory,,,,
8776,FactInventory,FactInventory,,Oracle,retail_sor_na_orcl,retail_sor_na_orcl - factinventory,,,,
4334,FactOnlineSalesOrderDetail_Asia,FactOnlineSales_AS,,MySQL,retail_sor_as_mysql,retail_sor_as - factonlinesalesorderdetail,,,,
8588,FactOnlineSalesOrderDetail_EU,FactOnlineSales_EU,,MSSQL,retail_sor_eu_sqlserver,retail_sor_eu - factonlinesalesorderdetail,,,,
4355,FactOnlineSalesOrderDetail_NA,FactOnlineSales_NA,,Oracle,retail_sor_na_orcl,retail_sor_na_orcl - factonlinesalesorderdetail,,,,
4542,FactOnlineSalesOrderDetail_Asia,FactSales_AS,,MySQL,retail_sor_as_mysql,retail_sor_as_mysql - factonlinesalesorderdetail,,,,
6587,FactResellerSales_Asia,FactSales_AS,,MySQL,retail_sor_as_mysql,retail_sor_as_mysql - factresellersales,,,,
345,FactStoreSales_Asia,FactSales_AS,,MySQL,retail_sor_as_mysql,retail_sor_as_mysql - factstoresales,,,,
3456,FactCatalogSales_Asia,FactSales_AS,,PostgreSQL,retail_sor_cat_postgre,retail_sor_cat_postgre - factcatalogsales,,,,
753,FactOnlineSalesOrderDetail_EU,FactSales_EU,,MSSQL,retail_sor_eu_sqlserver,retail_sor_eu_sqlserver - factonlinesalesorderdetail,,,,
4435,FactResellerSales_Asia_EU,FactSales_EU,,MSSQL,retail_sor_eu_sqlserver,retail_sor_eu_sqlserver - factresellersales,,,,
255,FactStoreSales_Asia_EU,FactSales_EU,,MSSQL,retail_sor_eu_sqlserver,retail_sor_eu_sqlserver - factstoresales,,,,
8974,FactOnlineSalesOrderDetail_NA,FactSales_NA,,Oracle,retail_sor_na_orcl,retail_sor_na_orcl - factonlinesalesorderdetail,,,,
3423,FactResellerSales_Asia_NA,FactSales_NA,,MySQL,retail_sor_as_mysql,retail_sor_as_mysql - factresellersales,,,,
4525,FactStoreSales_Asia_NA,FactSales_NA,,MySQL,retail_sor_as_mysql,retail_sor_as_mysql - factstoresales,,,,
3534,FactSalesQuota,FactSalesQuota,,PostgreSQL,retail_sor_plan_postgre,retail_sor_plan_postgre - factsalesquota,,,,
354,FactStrategyPlan,FactStrategyPlan,,PostgreSQL,retail_sor_plan_postgre,retail_sor_plan_postgre - factstrategyplan,,,,
